anio,provincia,region,fuente_energia,energia_gwh
2011,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,5.41861873006
2011,BUENOS AIRES,LITORAL,BIODIESEL,22.651652829426997
2011,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.059699
2011,BUENOS AIRES,BUENOS AIRES,EOLICO,0.24139999999999998
2012,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,107.89173939067001
2012,BUENOS AIRES,LITORAL,BIODIESEL,25.941767742627
2012,BUENOS AIRES,GRAN BS.AS.,BIOGAS,35.640717
2012,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.08806
2012,BUENOS AIRES,BUENOS AIRES,EOLICO,0.27261
2013,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,0.0
2013,BUENOS AIRES,LITORAL,BIODIESEL,0.0
2013,BUENOS AIRES,GRAN BS.AS.,BIOGAS,108.481127
2013,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.014462
2013,BUENOS AIRES,BUENOS AIRES,EOLICO,0.23541499999999999
2014,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,1.6262527110050002
2014,BUENOS AIRES,LITORAL,BIODIESEL,0.0
2014,BUENOS AIRES,GRAN BS.AS.,BIOGAS,103.047123
2014,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.038904999999999995
2014,BUENOS AIRES,BUENOS AIRES,EOLICO,0.17435699999999996
2015,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,0.0
2015,BUENOS AIRES,LITORAL,BIODIESEL,0.0
2015,BUENOS AIRES,GRAN BS.AS.,BIOGAS,83.600253
2015,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.152693
2015,BUENOS AIRES,BUENOS AIRES,EOLICO,0.08098799999999998
2016,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,0.8775801314300001
2016,BUENOS AIRES,LITORAL,BIODIESEL,0.0
2016,BUENOS AIRES,GRAN BS.AS.,BIOGAS,57.510292
2016,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.21909499999999998
2016,BUENOS AIRES,BUENOS AIRES,EOLICO,0.00584
2017,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,0.0
2017,BUENOS AIRES,LITORAL,BIODIESEL,0.0
2017,BUENOS AIRES,GRAN BS.AS.,BIOGAS,58.740357
2017,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.066537
2017,BUENOS AIRES,BUENOS AIRES,EOLICO,0.011758
2018,BUENOS AIRES,GRAN BS.AS.,BIODIESEL,0.0
2018,BUENOS AIRES,LITORAL,BIODIESEL,0.0
2018,BUENOS AIRES,GRAN BS.AS.,BIOGAS,121.444603
2018,BUENOS AIRES,BUENOS AIRES,BIOMASA,0.005442
2018,BUENOS AIRES,BUENOS AIRES,EOLICO,424.816639
2018,CATAMARCA,NOROESTE,SOLAR,8.80926
2011,CHUBUT,PATAGONIA,EOLICO,8.960885999999999
2011,CHUBUT,PATAGONICA,HIDRO <=50MW,109.82936500000001
