anio,provincia,gen_total_GWh,gen_eolico_GWh,gen_solar_GWh,gen_hidro_GWh,gen_biomasa_GWh,gen_eolico_pct,gen_solar_pct,gen_hidro_pct,gen_biomasa_pct
2011,BUENOS AIRES,28.371370559486994,0.24139999999999998,0.0,0.0,28.129970559486996,0.8508577317188477,0.0,0.0,99.14914226828115
2011,CHUBUT,118.79025100000001,8.960885999999999,0.0,109.82936500000001,0.0,7.543452366305714,0.0,92.45654763369429,0.0
2011,CORDOBA,234.796317,0.0,0.0,234.796317,0.0,0.0,0.0,100.0,0.0
2011,JUJUY,111.258269,0.0,0.0,111.258269,0.0,0.0,0.0,100.0,0.0
2011,LA RIOJA,6.773836999999999,6.773836999999999,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2011,MENDOZA,167.18933918106998,0.0,0.0,163.662648,3.52669118107,0.0,0.0,97.89060044238197,2.109399557618031
2011,MISIONES,83.181507,0.0,0.0,0.0,83.181507,0.0,0.0,0.0,100.0
2011,RIO NEGRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,SALTA,78.203895,0.0,0.0,72.080973,6.122922000000004,0.0,0.0,92.1705664404567,7.829433559543299
2011,SAN JUAN,247.99251699999996,0.0,1.7631940000000002,246.21409399999996,0.015229,0.0,0.710986775459842,99.28287231344162,0.006140911098539316
2011,SANTA FE,0.984229584227,0.0,0.0,0.10270900000000001,0.881520584227,0.0,0.0,10.435471727936953,89.56452827206304
2011,SANTIAGO DEL ESTERO,150.573566,0.0,0.0,150.573566,0.0,0.0,0.0,100.0,0.0
2011,TUCUMAN,175.192169,0.0,0.0,166.921931,8.270237999999999,0.0,0.0,95.27933351861178,4.720666481388217
2012,BUENOS AIRES,169.834894133297,0.27261,0.0,0.0,169.56228413329703,0.16051471718529095,0.0,0.0,99.83948528281472
2012,CHUBUT,401.633239,309.646211,0.0,91.98702800000001,0.0,77.09675916539368,0.0,22.903240834606322,0.0
2012,CORDOBA,278.810159,0.0,0.0,278.810159,0.0,0.0,0.0,100.0,0.0
2012,JUJUY,136.90281,0.0,0.0,136.90281,0.0,0.0,0.0,100.0,0.0
2012,LA RIOJA,38.432802,38.432802,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2012,MENDOZA,241.14944172911,0.0,0.0,205.899493,35.24994872911,0.0,0.0,85.38252940734266,14.61747059265734
2012,MISIONES,66.22843,0.0,0.0,0.0,66.22843,0.0,0.0,0.0,100.0
2012,RIO NEGRO,83.385224,0.0,0.0,83.385224,0.0,0.0,0.0,100.0,0.0
2012,SALTA,129.703603,0.0,0.0,73.604081,56.09952200000001,0.0,0.0,56.74790776629389,43.25209223370612
2012,SAN JUAN,280.43393765658004,0.0,8.062296,271.23540900000006,1.13623265658,0.0,2.874935918017563,96.71989462707452,0.4051694549079266
2012,SANTA FE,0.017209000000000002,0.0,0.0,0.017209000000000002,0.0,0.0,0.0,100.0,0.0
2012,SANTIAGO DEL ESTERO,151.899562,0.0,0.0,151.899562,0.0,0.0,0.0,100.0,0.0
2012,TUCUMAN,163.55655099999998,0.0,0.0,158.883198,4.673353,0.0,0.0,97.14266840953378,2.8573315904662238
2013,BUENOS AIRES,108.731004,0.23541499999999999,0.0,0.0,108.495589,0.2165113825307821,0.0,0.0,99.78348861746922
2013,CHUBUT,490.58183399999996,388.91720399999997,0.0,101.66463000000002,0.0,79.27672348340562,0.0,20.72327651659438,0.0
2013,CORDOBA,286.414058,0.0,0.0,286.414058,0.0,0.0,0.0,100.0,0.0
2013,JUJUY,87.42236,0.0,0.0,87.42236,0.0,0.0,0.0,100.0,0.0
2013,LA RIOJA,57.77677200000001,57.77677200000001,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2013,MENDOZA,217.73907300000002,0.0,0.0,217.505263,0.23381,0.0,0.0,99.89261918094047,0.10738081905951714
2013,MISIONES,72.936952,0.0,0.0,0.0,72.936952,0.0,0.0,0.0,100.0
2013,RIO NEGRO,96.904241,0.0,0.0,96.904241,0.0,0.0,0.0,100.0,0.0
2013,SALTA,105.14849799999999,0.0,0.0,50.222164,54.92633399999999,0.0,0.0,47.76308264526993,52.23691735473006
2013,SAN JUAN,270.19422786391203,0.0,15.011556,253.19629400000002,1.986377863912,0.0,5.555838893627597,93.70899445251165,0.7351666538607454
2013,SANTA FE,0.019433,0.0,0.0,0.019433,0.0,0.0,0.0,100.0,0.0
